system,instance_id,truth,v3_pred,claimed,n_numbers,n_bad,numeric,classification,rule,ok
B3,100.mat,normal,normal,IR,1,0,1.0,0.0,0.0,True
B3,105.mat,IR,IR,OR,0,0,1.0,0.0,0.0,True
B3,106.mat,IR,IR,OR,0,0,1.0,0.0,0.0,True
B3,107.mat,IR,IR,B,0,0,1.0,0.0,0.0,True
B3,108.mat,IR,IR,IR,0,0,1.0,1.0,1.0,True
B3,169.mat,IR,IR,,1,0,1.0,,,True
B3,170.mat,IR,IR,IR,0,0,1.0,1.0,1.0,True
B3,171.mat,IR,IR,IR,1,0,1.0,1.0,1.0,True
B3,172.mat,IR,IR,IR,0,0,1.0,1.0,1.0,True
B3,209.mat,IR,IR,IR,0,0,1.0,1.0,1.0,True
B3,210.mat,IR,IR,IR,1,0,1.0,1.0,1.0,True
B3,211.mat,IR,IR,OR,0,0,1.0,0.0,0.0,True
B3,212.mat,IR,IR,IR,1,0,1.0,1.0,1.0,True
B3,118.mat,B,B,IR,0,0,1.0,0.0,0.0,True
B3,119.mat,B,B,IR,1,0,1.0,0.0,0.0,True
B3,120.mat,B,B,OR,0,0,1.0,0.0,0.0,True
B3,121.mat,B,B,IR,0,0,1.0,0.0,0.0,True
B3,185.mat,B,B,IR,0,0,1.0,0.0,0.0,True
B3,186.mat,B,B,IR,0,0,1.0,0.0,0.0,True
B3,187.mat,B,B,IR,0,0,1.0,0.0,0.0,True
B3,188.mat,B,B,IR,0,0,1.0,0.0,0.0,True
B3,222.mat,B,B,IR,0,0,1.0,0.0,0.0,True
B3,223.mat,B,B,OR,0,0,1.0,0.0,0.0,True
B3,224.mat,B,B,OR,0,0,1.0,0.0,0.0,True
B3,225.mat,B,B,B,0,0,1.0,1.0,1.0,True
B3,130.mat,OR,OR,OR,1,0,1.0,1.0,1.0,True
B3,131.mat,OR,OR,OR,0,0,1.0,1.0,1.0,True
B3,132.mat,OR,OR,IR,1,0,1.0,0.0,0.0,True
B3,133.mat,OR,OR,IR,1,0,1.0,0.0,0.0,True
B3,197.mat,OR,OR,IR,1,0,1.0,0.0,0.0,True
B3,198.mat,OR,OR,IR,2,0,1.0,0.0,0.0,True
B3,199.mat,OR,OR,IR,0,0,1.0,0.0,0.0,True
B3,200.mat,OR,OR,B,1,0,1.0,0.0,0.0,True
B3,234.mat,OR,OR,B,4,0,1.0,0.0,0.0,True
B3,235.mat,OR,OR,IR,1,0,1.0,0.0,0.0,True
B3,236.mat,OR,OR,OR,0,0,1.0,1.0,1.0,True
B3,237.mat,OR,OR,OR,0,0,1.0,1.0,1.0,True
B4,97.mat,normal,normal,OR,1,1,0.0,0.0,0.0,True
B4,98.mat,normal,normal,OR,2,1,0.5,0.0,0.0,True
B4,99.mat,normal,normal,OR,2,0,1.0,0.0,0.0,True
B4,100.mat,normal,normal,OR,2,1,0.5,0.0,0.0,True
B4,105.mat,IR,IR,OR,1,0,1.0,0.0,0.0,True
B4,106.mat,IR,IR,OR,2,1,0.5,0.0,0.0,True
B4,107.mat,IR,IR,OR,2,0,1.0,0.0,0.0,True
B4,108.mat,IR,IR,OR,2,1,0.5,0.0,0.0,True
B4,169.mat,IR,IR,OR,2,0,1.0,0.0,0.0,True
B4,170.mat,IR,IR,OR,2,0,1.0,0.0,0.0,True
B4,171.mat,IR,IR,OR,2,1,0.5,0.0,0.0,True
B4,172.mat,IR,IR,OR,1,1,0.0,0.0,0.0,True
B4,209.mat,IR,IR,OR,2,1,0.5,0.0,0.0,True
B4,210.mat,IR,IR,OR,2,0,1.0,0.0,0.0,True
B4,211.mat,IR,IR,OR,2,1,0.5,0.0,0.0,True
B4,212.mat,IR,IR,OR,2,0,1.0,0.0,0.0,True
B4,118.mat,B,B,OR,2,1,0.5,0.0,0.0,True
B4,119.mat,B,B,OR,2,1,0.5,0.0,0.0,True
B4,120.mat,B,B,OR,2,0,1.0,0.0,0.0,True
B4,121.mat,B,B,OR,2,0,1.0,0.0,0.0,True
B4,185.mat,B,B,OR,2,2,0.0,0.0,0.0,True
B4,186.mat,B,B,OR,2,1,0.5,0.0,0.0,True
B4,187.mat,B,B,OR,2,0,1.0,0.0,0.0,True
B4,188.mat,B,B,OR,2,1,0.5,0.0,0.0,True
B4,222.mat,B,B,OR,2,1,0.5,0.0,0.0,True
B4,223.mat,B,B,OR,2,2,0.0,0.0,0.0,True
B4,224.mat,B,B,OR,2,0,1.0,0.0,0.0,True
B4,225.mat,B,B,OR,2,1,0.5,0.0,0.0,True
B4,130.mat,OR,OR,OR,2,2,0.0,1.0,1.0,True
B4,131.mat,OR,OR,OR,2,1,0.5,1.0,1.0,True
B4,132.mat,OR,OR,OR,2,1,0.5,1.0,1.0,True
B4,133.mat,OR,OR,OR,2,2,0.0,1.0,1.0,True
B4,197.mat,OR,OR,OR,2,1,0.5,1.0,1.0,True
B4,198.mat,OR,OR,OR,2,1,0.5,1.0,1.0,True
B4,199.mat,OR,OR,OR,2,1,0.5,1.0,1.0,True
B4,200.mat,OR,OR,OR,2,1,0.5,1.0,1.0,True
B4,234.mat,OR,OR,OR,2,2,0.0,1.0,1.0,True
B4,235.mat,OR,OR,OR,2,1,0.5,1.0,1.0,True
B4,236.mat,OR,OR,OR,2,1,0.5,1.0,1.0,True
B4,237.mat,OR,OR,OR,1,0,1.0,1.0,1.0,True
B5,97.mat,normal,normal,IR,2,0,1.0,0.0,0.0,True
B5,98.mat,normal,normal,IR,7,0,1.0,0.0,0.0,True
B5,99.mat,normal,normal,B,4,0,1.0,0.0,0.0,True
B5,100.mat,normal,normal,IR,1,0,1.0,0.0,0.0,True
B5,105.mat,IR,IR,B,3,0,1.0,0.0,0.0,True
B5,106.mat,IR,IR,B,4,0,1.0,0.0,0.0,True
B5,107.mat,IR,IR,IR,5,0,1.0,1.0,1.0,True
B5,108.mat,IR,IR,IR,2,0,1.0,1.0,1.0,True
B5,169.mat,IR,IR,IR,2,0,1.0,1.0,1.0,True
B5,170.mat,IR,IR,IR,0,0,1.0,1.0,1.0,True
B5,171.mat,IR,IR,IR,0,0,1.0,1.0,1.0,True
B5,172.mat,IR,IR,IR,2,0,1.0,1.0,1.0,True
B5,209.mat,IR,IR,IR,4,0,1.0,1.0,1.0,True
B5,210.mat,IR,IR,OR,0,0,1.0,0.0,0.0,True
B5,211.mat,IR,IR,IR,4,0,1.0,1.0,1.0,True
B5,212.mat,IR,IR,OR,0,0,1.0,0.0,0.0,True
B5,118.mat,B,B,B,5,0,1.0,1.0,1.0,True
B5,119.mat,B,B,IR,2,0,1.0,0.0,0.0,True
B5,120.mat,B,B,B,2,0,1.0,1.0,1.0,True
B5,121.mat,B,B,B,2,0,1.0,1.0,1.0,True
B5,185.mat,B,B,IR,0,0,1.0,0.0,0.0,True
B5,186.mat,B,B,B,4,0,1.0,1.0,1.0,True
B5,187.mat,B,B,IR,4,0,1.0,0.0,0.0,True
B5,188.mat,B,B,IR,2,0,1.0,0.0,0.0,True
B5,222.mat,B,B,IR,3,0,1.0,0.0,0.0,True
B5,223.mat,B,B,IR,3,0,1.0,0.0,0.0,True
B5,224.mat,B,B,B,2,0,1.0,1.0,1.0,True
B5,225.mat,B,B,IR,2,0,1.0,0.0,0.0,True
B5,130.mat,OR,OR,OR,0,0,1.0,1.0,1.0,True
B5,131.mat,OR,OR,IR,2,0,1.0,0.0,0.0,True
B5,132.mat,OR,OR,B,3,0,1.0,0.0,0.0,True
B5,133.mat,OR,OR,IR,0,0,1.0,0.0,0.0,True
B5,197.mat,OR,OR,B,2,0,1.0,0.0,0.0,True
B5,198.mat,OR,OR,B,1,0,1.0,0.0,0.0,True
B5,199.mat,OR,OR,IR,4,0,1.0,0.0,0.0,True
B5,200.mat,OR,OR,IR,0,0,1.0,0.0,0.0,True
B5,234.mat,OR,OR,IR,4,0,1.0,0.0,0.0,True
B5,235.mat,OR,OR,OR,2,0,1.0,1.0,1.0,True
B5,236.mat,OR,OR,IR,3,0,1.0,0.0,0.0,True
B5,237.mat,OR,OR,OR,0,0,1.0,1.0,1.0,True
B8,97.mat,normal,normal,normal,3,0,1.0,1.0,1.0,True
B8,98.mat,normal,normal,normal,0,0,1.0,1.0,1.0,True
B8,99.mat,normal,normal,normal,3,0,1.0,1.0,1.0,True
B8,100.mat,normal,normal,normal,5,0,1.0,1.0,1.0,True
B8,105.mat,IR,IR,IR,3,0,1.0,1.0,1.0,True
B8,106.mat,IR,IR,IR,3,0,1.0,1.0,1.0,True
B8,107.mat,IR,IR,IR,2,0,1.0,1.0,1.0,True
B8,108.mat,IR,IR,IR,3,0,1.0,1.0,1.0,True
B8,169.mat,IR,IR,IR,3,0,1.0,1.0,1.0,True
B8,170.mat,IR,IR,IR,3,0,1.0,1.0,1.0,True
B8,171.mat,IR,IR,IR,3,0,1.0,1.0,1.0,True
B8,172.mat,IR,IR,IR,0,0,1.0,1.0,1.0,True
B8,209.mat,IR,IR,IR,0,0,1.0,1.0,1.0,True
B8,210.mat,IR,IR,IR,3,0,1.0,1.0,1.0,True
B8,211.mat,IR,IR,IR,0,0,1.0,1.0,1.0,True
B8,212.mat,IR,IR,IR,2,0,1.0,1.0,1.0,True
B8,118.mat,B,B,B,0,0,1.0,1.0,1.0,True
B8,119.mat,B,B,B,0,0,1.0,1.0,1.0,True
B8,120.mat,B,B,B,0,0,1.0,1.0,1.0,True
B8,121.mat,B,B,B,0,0,1.0,1.0,1.0,True
B8,185.mat,B,B,B,0,0,1.0,1.0,1.0,True
B8,186.mat,B,B,B,0,0,1.0,1.0,1.0,True
B8,187.mat,B,B,B,0,0,1.0,1.0,1.0,True
B8,188.mat,B,B,B,0,0,1.0,1.0,1.0,True
B8,222.mat,B,B,B,0,0,1.0,1.0,1.0,True
B8,223.mat,B,B,B,0,0,1.0,1.0,1.0,True
B8,224.mat,B,B,B,0,0,1.0,1.0,1.0,True
B8,225.mat,B,B,B,0,0,1.0,1.0,1.0,True
B8,130.mat,OR,OR,OR,2,0,1.0,1.0,1.0,True
B8,131.mat,OR,OR,OR,2,0,1.0,1.0,1.0,True
B8,132.mat,OR,OR,OR,1,0,1.0,1.0,1.0,True
B8,133.mat,OR,OR,OR,3,0,1.0,1.0,1.0,True
B8,197.mat,OR,OR,OR,0,0,1.0,1.0,1.0,True
B8,198.mat,OR,OR,OR,0,0,1.0,1.0,1.0,True
B8,199.mat,OR,OR,OR,0,0,1.0,1.0,1.0,True
B8,200.mat,OR,OR,OR,0,0,1.0,1.0,1.0,True
B8,234.mat,OR,OR,OR,3,0,1.0,1.0,1.0,True
B8,235.mat,OR,OR,OR,3,0,1.0,1.0,1.0,True
B8,236.mat,OR,OR,OR,3,0,1.0,1.0,1.0,True
B8,237.mat,OR,OR,OR,3,0,1.0,1.0,1.0,True
